Model Name,Parameter Size,URL,Mix of Experts,Developer,Context Window,Training Tokens,Release Date,License Type,Quantization Level,Benchmark Scores,Primary Modalities,Supported Languages
esiil/GLM-4.7-Flash,30B total (3B active MoE),https://huggingface.co/zai-org/GLM-4.7-Flash,Yes,Zhipu AI,131K,Unknown,Jan 2026,MIT,INT4 / GGUF,AIME 25: 91.6,"Text, Tools",100+
nrp/glm-4.7,30B total (3B active MoE),https://huggingface.co/zai-org/GLM-4.7,Yes,Zhipu AI,131K,Unknown,Jan 2026,MIT,INT4 / GGUF,AIME 25: 91.6,"Text, Tools",100+
nrp/glm-5,744B total (40B active MoE),https://huggingface.co/zai-org/GLM-5,Yes,Zhipu AI,131K,Unknown,2026,Proprietary / MIT,Unknown,Unknown,"Text, Tools",100+
nrp/kimi,Varies by version (Kimi K2.5 is a large proprietary MoE),https://huggingface.co/moonshotai/Kimi-K2.5,Yes,Moonshot AI,200K,Unknown,2025,Proprietary,Unknown,Unknown,Text,"Chinese, English"
nrp/gemma,"Varies (Likely referring to Gemma 2/3 variants like 9B, 12B, or 27B)",https://huggingface.co/google/gemma-4-31B-it,No,Google,128K,Unknown,2025,Gemma License,GGUF,Unknown,"Text, Image",140+
nrp/qwen3,Varies by specific release version (Typically ranging from 7B to 72B+),https://huggingface.co/Qwen/Qwen3-8B,No,Alibaba Cloud,1M,Unknown,May 2025,Apache 2.0,GGUF,Unknown,"Text, Vision",Multilingual
nrp/qwen3-small,Varies (Typically a lightweight 1.5B to 7B variant),https://huggingface.co/Qwen/Qwen3-4B,No,Alibaba Cloud,1M,Unknown,May 2025,Apache 2.0,GGUF,Unknown,Text,Multilingual
nrp/minimax-m2,Proprietary MoE structure (Size details not fully public),https://huggingface.co/MiniMaxAI/MiniMax-M2,Yes,MiniMax,200K,Unknown,Oct 2025,Open,GGUF,Unknown,"Text, Tools",Multilingual
nrp/gpt-oss,Custom open-source compilation (Sizes vary based on base model),https://huggingface.co/openai/gpt-oss-20b,No,OpenAI,131K,Unknown,Aug 2025,Apache 2.0,GGUF,Unknown,"Text, Tools",Multilingual
Meta-Llama-3.1-70B-Instruct-quantized,70 Billion (Quantized),https://huggingface.co/hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4,No,Meta,128K,15T,Jul 2024,Llama License,INT4,MMLU: 86.0,Text,8
llama-3.3-70b-instruct-quantized,70 Billion (Quantized),https://huggingface.co/RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,No,Meta,128K,15T,Dec 2024,Llama License,W8A8,Unknown,Text,8
phi-4,14 Billion,https://huggingface.co/microsoft/phi-4,No,Microsoft,16K,Unknown,Dec 2024,MIT,GGUF,Unknown,Text,English
Llama-3.3-70B-Instruct-quantized,70 Billion (Quantized),https://huggingface.co/RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,No,Meta,128K,15T,Dec 2024,Llama License,W8A8,Unknown,Text,8
phi-4-multimodal-instruct,5.6 Billion,https://huggingface.co/microsoft/Phi-4-multimodal-instruct,No,Microsoft,16K,Unknown,2025,MIT,GGUF,Unknown,"Text, Vision, Audio",English
gemma-3-12b-it,12 Billion,https://huggingface.co/google/gemma-3-12b-it,No,Google,128K,Unknown,Mar 2025,Gemma License,GGUF,Unknown,"Text, Image",140+
Llama-3.2-11B-Vision-Instruct,11 Billion,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision-Instruct,No,Meta,128K,Unknown,Sep 2024,Llama License,Unknown,Unknown,"Text, Vision",8
js2/llama-4-scout,Custom Llama-4 preview or fine-tune variant,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E,No,Meta,Unknown,Unknown,2026,Llama License,Unknown,Unknown,Text,Unknown
js2/gpt-oss-120b,120 Billion,https://huggingface.co/openai/gpt-oss-120b,No,OpenAI,131K,Unknown,Aug 2025,Apache 2.0,GGUF,AIME 25: 91.7,"Text, Tools",Multilingual